Duplication	Prot-emptyme	Plate_1536	Col_1536	Row_1536	numbloc
SSD	YFL011W	4	16	3	85
SSD	YMR011W	4	16	4	85
SSD	YDR461W	4	16	5	86
SSD	YNL145W	4	16	6	86
SSD	YGL008C	4	16	7	87
SSD	YPL036W	4	16	8	87
SSD	YJL212C	4	16	9	88
SSD	YPR194C	4	16	10	88
WGD	YGR214W	4	16	11	89
WGD	YLR048W	4	16	12	89
SSD	YIR031C	4	16	13	90
SSD	YNL117W	4	16	14	90
SSD	YDR391C	4	16	15	91
SSD	YOR012W	4	16	16	91
SSD	YFL011W	4	16	17	92
SSD	YMR011W	4	16	18	92
SSD	YDR391C	4	16	19	93
SSD	YOR012W	4	16	20	93
WGD	YNL104C	4	16	21	94
WGD	YOR108W	4	16	22	94
SSD	YIL014C-A	4	16	23	95
SSD	YIL102C	4	16	24	95
SSD	YOR390W	4	16	25	96
SSD	YPL279C	4	16	26	96
SSD	YKL188C	4	16	27	97
SSD	YPL147W	4	16	28	97
SSD	YEL073C	4	16	29	98
SSD	YJR108W	4	16	30	98
empty	empty	4	16	31	NA
empty	empty	4	16	32	NA
empty	empty	4	17	1	NA
empty	empty	4	17	2	NA
WGD	YDL181W	4	17	3	99
WGD	YDL130W-A	4	17	4	99
WGD	YBR089C-A	4	17	5	100
WGD	YPR052C	4	17	6	100
WGD	YDL022W	4	17	7	101
WGD	YOL059W	4	17	8	101
WGD	YLR450W	4	17	9	102
WGD	YML075C	4	17	10	102
WGD	YER131W	4	17	11	103
WGD	YGL189C	4	17	12	103
WGD	YDR358W	4	17	13	104
WGD	YHR108W	4	17	14	104
WGD	YBL075C	4	17	15	105
WGD	YER103W	4	17	16	105
WGD	YLR450W	4	17	17	106
WGD	YML075C	4	17	18	106
WGD	YFL048C	4	17	19	107
WGD	YLR080W	4	17	20	107
WGD	YGR214W	4	17	21	108
WGD	YLR048W	4	17	22	108
SSD	YDR276C	4	17	23	109
SSD	YDL123W	4	17	24	109
WGD	YLR270W	4	17	25	110
WGD	YOR173W	4	17	26	110
WGD	YOR016C	4	17	27	111
WGD	YAL007C	4	17	28	111
WGD	YOR016C	4	17	29	112
WGD	YAL007C	4	17	30	112
empty	empty	4	17	31	NA
empty	empty	4	17	32	NA
empty	empty	4	18	1	NA
empty	empty	4	18	2	NA
WGD	YDL181W	4	18	3	99
WGD	YDL130W-A	4	18	4	99
WGD	YBR089C-A	4	18	5	100
WGD	YPR052C	4	18	6	100
WGD	YDL022W	4	18	7	101
WGD	YOL059W	4	18	8	101
WGD	YLR450W	4	18	9	102
WGD	YML075C	4	18	10	102
WGD	YER131W	4	18	11	103
WGD	YGL189C	4	18	12	103
WGD	YDR358W	4	18	13	104
WGD	YHR108W	4	18	14	104
WGD	YBL075C	4	18	15	105
WGD	YER103W	4	18	16	105
WGD	YLR450W	4	18	17	106
WGD	YML075C	4	18	18	106
WGD	YFL048C	4	18	19	107
WGD	YLR080W	4	18	20	107
WGD	YGR214W	4	18	21	108
WGD	YLR048W	4	18	22	108
SSD	YDR276C	4	18	23	109
SSD	YDL123W	4	18	24	109
WGD	YLR270W	4	18	25	110
WGD	YOR173W	4	18	26	110
WGD	YOR016C	4	18	27	111
WGD	YAL007C	4	18	28	111
WGD	YOR016C	4	18	29	112
WGD	YAL007C	4	18	30	112
empty	empty	4	18	31	NA
empty	empty	4	18	32	NA
empty	empty	4	19	1	NA
empty	empty	4	19	2	NA
SSD	YEL073C	4	19	3	113
SSD	YJR108W	4	19	4	113
SSD	YGL258W	4	19	5	114
SSD	YOR387C	4	19	6	114
SSD	YBR069C	4	19	7	115
SSD	YCL025C	4	19	8	115
WGD	YDR490C	4	19	9	116
WGD	YOL100W	4	19	10	116
WGD	YOR016C	4	19	11	117
WGD	YAL007C	4	19	12	117
WGD	YDR490C	4	19	13	118
WGD	YOL100W	4	19	14	118
SSD	YNL018C	4	19	15	119
SSD	YNL034W	4	19	16	119
WGD	YBR189W	4	19	17	120
WGD	YPL081W	4	19	18	120
WGD	YJL099W	4	19	19	121
WGD	YKR027W	4	19	20	121
SSD	YER187W	4	19	21	122
SSD	YGL262W	4	19	22	122
SSD	YGL255W	4	19	23	123
SSD	YLR130C	4	19	24	123
SSD	YCR018C	4	19	25	124
SSD	YPL021W	4	19	26	124
SSD	YMR253C	4	19	27	125
SSD	YPL264C	4	19	28	125
SSD	YLR144C	4	19	29	126
SSD	YNR067C	4	19	30	126
empty	empty	4	19	31	NA
empty	empty	4	19	32	NA
empty	empty	4	20	1	NA
empty	empty	4	20	2	NA
SSD	YEL073C	4	20	3	113
SSD	YJR108W	4	20	4	113
SSD	YGL258W	4	20	5	114
SSD	YOR387C	4	20	6	114
SSD	YBR069C	4	20	7	115
SSD	YCL025C	4	20	8	115
WGD	YDR490C	4	20	9	116
WGD	YOL100W	4	20	10	116
WGD	YOR016C	4	20	11	117
WGD	YAL007C	4	20	12	117
WGD	YDR490C	4	20	13	118
WGD	YOL100W	4	20	14	118
SSD	YNL018C	4	20	15	119
SSD	YNL034W	4	20	16	119
WGD	YBR189W	4	20	17	120
WGD	YPL081W	4	20	18	120
WGD	YJL099W	4	20	19	121
WGD	YKR027W	4	20	20	121
SSD	YER187W	4	20	21	122
SSD	YGL262W	4	20	22	122
SSD	YGL255W	4	20	23	123
SSD	YLR130C	4	20	24	123
SSD	YCR018C	4	20	25	124
SSD	YPL021W	4	20	26	124
SSD	YMR253C	4	20	27	125
SSD	YPL264C	4	20	28	125
SSD	YLR144C	4	20	29	126
SSD	YNR067C	4	20	30	126
empty	empty	4	20	31	NA
empty	empty	4	20	32	NA
empty	empty	4	21	1	NA
empty	empty	4	21	2	NA
SSD	YCR018C	4	21	3	127
SSD	YPL021W	4	21	4	127
SSD	YBR069C	4	21	5	128
SSD	YCL025C	4	21	6	128
SSD	YMR253C	4	21	7	129
SSD	YPL264C	4	21	8	129
SSD	YCR106W	4	21	9	130
SSD	YLL054C	4	21	10	130
SSD	YAR066W	4	21	11	131
SSD	YHR214W	4	21	12	131
SSD	YLR144C	4	21	13	132
SSD	YNR067C	4	21	14	132
WGD	YNL104C	4	21	15	133
WGD	YOR108W	4	21	16	133
SSD	YJL219W	4	21	17	134
SSD	YOL156W	4	21	18	134
SSD	YOL082W	4	21	19	135
SSD	YOL083W	4	21	20	135
WGD	YLR270W	4	21	21	136
WGD	YOR173W	4	21	22	136
WGD	YDL181W	4	21	23	137
WGD	YDL130W-A	4	21	24	137
WGD	YDR358W	4	21	25	138
WGD	YHR108W	4	21	26	138
WGD	YBL039C	4	21	27	139
WGD	YJR103W	4	21	28	139
SSD	YCR105W	4	21	29	140
SSD	YMR318C	4	21	30	140
empty	empty	4	21	31	NA
empty	empty	4	21	32	NA
empty	empty	4	22	1	NA
empty	empty	4	22	2	NA
SSD	YCR018C	4	22	3	127
SSD	YPL021W	4	22	4	127
SSD	YBR069C	4	22	5	128
SSD	YCL025C	4	22	6	128
SSD	YMR253C	4	22	7	129
SSD	YPL264C	4	22	8	129
SSD	YCR106W	4	22	9	130
SSD	YLL054C	4	22	10	130
SSD	YAR066W	4	22	11	131
SSD	YHR214W	4	22	12	131
SSD	YLR144C	4	22	13	132
SSD	YNR067C	4	22	14	132
WGD	YNL104C	4	22	15	133
WGD	YOR108W	4	22	16	133
SSD	YJL219W	4	22	17	134
SSD	YOL156W	4	22	18	134
SSD	YOL082W	4	22	19	135
SSD	YOL083W	4	22	20	135
