Number	Gene	ORF	Known homomer	References
120	GSY2	YLR258W	_	Ito T, et al. (2001)
121	GTT2	YLL060C	_	Choi JH, et al. (1998)
122	GUS1	YGL245W		
123	GYL1	YMR192W		
124	HCA4	YJL033W	_	Krogan NJ, et al. (2004)
125	HMO1	YDR174W	_	Yu H, et al. (2008)
126	HOM6	YJR139C	_	DeLaBarre B, et al. (2000)
127	HSC82	YMR186W	_	Marino-Ramirez L and Hu JC (2002)
128	HSP104	YLL026W	_	Parsell DA, et al. (1994)
129	HSP12	YFL014W		
130	HSP82	YPL240C	_	Prodromou C, et al. (1997)
131	HUL4	YJR036C		
132	HXK1	YFR053C	_	Maity H, et al. (2000)
133	HXT1	YHR094C	_	Tarassov K, et al. (2008)
134	HXT3	YDR345C		
135	ICS2	YBR157C		
136	IDH2	YOR136W		
137	ILV2	YMR108W	_	Pang SS, et al. (2002)
138	IMD3	YLR432W	_	Krogan NJ, et al. (2004)
139	IMD4	YML056C	_	Tarassov K, et al. (2008)
140	INH1	YDL181W		
141	ITC1	YGL133W		
142	ITR1	YDR497C	_	Tarassov K, et al. (2008)
143	KAP95	YLR347C	_	Krogan NJ, et al. (2004)
144	KCS1	YDR017C	_	Babu M, et al. (2012)
145	KEI1	YDR367W		
146	KEL1	YHR158C	_	Philips J and Herskowitz I(1998)
147	KGD2	YDR148C	_	Marino-Ramirez L and Hu JC (2002)
148	KIC1	YHR102W		
149	KIP3	YGL216W		
150	LEU1	YGL009C		
151	LEU4	YNL104C	_	Yu H, et al. (2008)
152	LEU9	YOR108W	_	Yu H, et al. (2008)
153	LIA1	YJR070C		
154	LRG1	YDL240W		
155	LSP1	YPL004C	_	Karotki L, et al. (2011)
156	LST4	YKL176C		
157	LYS12	YIL094C		
158	LYS2	YBR115C		
159	LYS20	YDL182W	_	Tarassov K, et al. (2008)
160	LYS21	YDL131W	_	Tarassov K, et al. (2008)
161	MAK21	YDR060W	_	Krogan NJ, et al. (2004)
162	MAM33	YIL070C	_	Pu YG, et al. (2011)
163	MBF1	YOR298C-A		
164	MCM3	YEL032W	_	Lei M, et al. (1996)
165	MDM38	YOL027C		
166	MET6	YER091C		
167	MIC12	YBR262C		
168	MIP1	YOR330C		
169	MKK2	YPL140C		
170	MMF1	YIL051C	_	Pu YG, et al. (2011)
171	MRI1	YPR118W	_	Bumann M, et al. (2004)
172	MRP1	YDR347W		
173	MRP10	YDL045W-A		
174	MRP4	YHL004W		
175	MRT4	YKL009W		
176	MSC6	YOR354C		
177	MSH3 	YCR092C		
178	MSH6	YDR097C		
179	MTR4 	YJL050W	_	Krogan NJ, et al. (2004)
180	MUP1	YGR055W	_	Tarassov K, et al. (2008)
181	NCB2	YDR397C	_	Yu H, et al. (2008)
182	NCE102	YPR149W		
183	NDC80	YIL144W	_	Newman JR, et al. (2000)
184	NDE1	YMR145C		
185	NDI1	YML120C	_	Feng Y, et al. (2012)
186	NET1	YJL076W		
187	NEW1	YPL226W	_	Alberti S, et al. (2009)
188	NHP6A	YPR052C		
189	NHP6B	YBR089C-A		
190	NIC96	YFR002W		
191	NIP1	YMR309C	_	Krogan NJ, et al. (2004)
192	NIP7	YPL211W		
193	NOC2	YOR206W	_	Krogan NJ, et al. (2004)
194	NOC4	YPR144C	_	Jakob S, et al. (2012)
195	NOP13	YNL175C		
196	NOP16	YER002W		
197	NOP56	YLR197W	_	Boulon S, et al. (2008)
198	NOP7	YGR103W	_	Krogan NJ, et al. (2004)
199	NPL3	YDR432W	_	Krogan NJ, et al. (2004)
200	NSA1	YGL111W	_	Kressler D, et al. (2008)
201	NSR1	YGR159C	_	Krogan NJ, et al. (2004)
202	NUD1	YOR373W	_	Elliott S, et al. (1999)
203	NUF2	YOL069W	_	Wang Y, et al. (2012)
204	NUP133	YKR082W		
205	NUP145	YGL092W	_	Ratner GA, et al. (2007)
206	NUP159	YIL115C		
207	NUP2	YLR335W		
208	OAF1	YAL051W	_	Rottensteiner H, et al. (1997)
209	OLA1	YBR025C	_	Krogan NJ, et al. (2004)
210	OM14	YBR230C		
211	PAN1	YIR006C	_	Miliaras NB, et al. (2004)
212	PBI2	YNL015W		
213	PCS60	YBR222C	_	Tarassov K, et al. (2008)
214	PDA1	YER178W		
215	PEP5	YMR231W	_	Srivastava A, et al. (2000)
216	PEX1	YKL197C		
217	PEX11	YOL147C	_	Marshall PA, et al. (1996)
218	PEX25	YPL112C	_	Tam YY, et al. (2003)
219	PFK1	YGR240C	_	Yu H, et al. (2008)
220	PFK2	YMR205C		
221	PGI1	YBR196C	_	Babu M, et al. (2012)
222	PGK1	YCR012W	_	Osvath S, et al. (2006)
223	PMP1	YCR024C-A		
224	PMP3	YDR276C		
225	POL5	YEL055C		
226	POX1	YGL205W		
227	PRP43	YGL120C	_	Tarassov K, et al. (2008)
228	PRY3	YJL078C		
229	PST2	YDR032C	_	Uetz P, et al. (2000)
230	PUB1	YNL016W	_	Alberti S, et al. (2009)
231	PUF6	YDR496C	_	Krogan NJ, et al. (2004)
232	PUT2	YHR037W	_	Babu M, et al. (2012)
233	PWP2	YCR057C		
234	PYC2	YBR218C		
235	QCR8	YJL166W		
236	QCR9	YGR183C		
237	QDR3	YBR043C		
238	RAD26	YJR035W		
239	RAD54	YGL163C		
240	RCL1	YOL010W	_	Grandi P, et al. (2002)
241	RIX1	YHR197W		
