MATa orf_name	MATa gene_name	MATa type	MATalpha orf_name	MATalpha_gene_name	MATalpha type	intensity	z-score	PPV%
YPR028W	YOP1	3	YDR276C	PMP3	3	39193	3.23676	99
YGL011C	SCL1	0	YGR094W	VAS1	2	25549	3.23714	99
YKR097W	PCK1	0	YKR097W	PCK1	0	38546	3.23792	99
YML072C	TCB3	0	YBR052C	RFS1	0	28442	3.23798	99
YDL189W	RBS1	0	YDR419W	RAD30	0	24551	3.23936	99
YHR072W	ERG7	0	YHR072W	ERG7	0	37853	3.23954	99
YMR105C	PGM2	0	YML086C	ALO1	0	46145	3.23973	99
YDR497C	ITR1	0	YEL031W	SPF1	3	30731	3.24009	99
YKL067W	YNK1	0	YPR035W	GLN1	2	27880	3.24014	99
YIL027C	KRE27	0	YHR007C	ERG11	0	42201	3.24018	99
YLR447C	VMA6	0	YPR036W	VMA13	0	26996	3.24037	99
YGR241C	YAP1802	0	YHR080C	YHR080C	1	20375	3.24083	99
YGL203C	KEX1	0	YCR094W	CDC50	0	31151	3.24085	99
YCR021C	HSP30	0	YGL077C	HNM1	0	46041	3.24123	99
YIL070C	MAM33	0	YKL051W	SFK1	0	50588	3.24174	99
YLR056W	ERG3	0	YER026C	CHO1	3	65292	3.24186	99
YGL055W	OLE1	0	YKL065C	YET1	3	43411	3.24272	99
YER090W	TRP2	0	YGL202W	ARO8	2	37307	3.24283	99
YHR133C	NSG1	0	YEL063C	CAN1	3	30073	3.24293	99
YDR178W	SDH4	0	YGL202W	ARO8	2	46048	3.24318	99
YJL151C	SNA3	0	YDR345C	HXT3	3	33614	3.2432	99
YOR046C	DBP5	1	YBR041W	FAT1	0	26053	3.24328	99
YML038C	YMD8	0	YGL203C	KEX1	0	26275	3.24354	99
YHR205W	SCH9	0	YOR332W	VMA4	2	31827	3.24378	99
YCR028C-A	RIM1	0	YML072C	TCB3	0	51393	3.24395	99
YER166W	DNF1	0	YLR330W	CHS5	0	22132	3.24434	99
YGL055W	OLE1	0	YDR476C	YDR476C	3	43463	3.24442	99
YKR089C	TGL4	0	YML016C	PPZ1	0	20909	3.24452	99
YOR054C	VHS3	0	YLR350W	ORM2	0	35418	3.24467	99
YOR054C	VHS3	0	YDR233C	RTN1	3	35427	3.245	99
YGL087C	MMS2	0	YNR065C	YNR065C	0	24938	3.24539	99
YDL160C	DHH1	0	YLR438C-A	LSM3	0	61692	3.2454	99
YHR142W	CHS7	0	YKR039W	GAP1	3	43451	3.24631	99
YER020W	GPA2	0	YAL053W	FLC2	0	47084	3.2477	99
YPR028W	YOP1	3	YGL225W	VRG4	3	39536	3.24829	99
YEL063C	CAN1	3	YML012W	ERV25	0	39336	3.24841	99
YGL203C	KEX1	0	YDL192W	ARF1	0	31305	3.24864	99
YKL193C	SDS22	0	YJL026W	RNR2	2	40872	3.24884	99
YMR312W	ELP6	0	YPL101W	ELP4	0	31312	3.24925	99
YMR015C	ERG5	0	YDR276C	PMP3	3	42614	3.24966	99
YBR207W	FTH1	0	YGR163W	GTR2	0	44751	3.2498	99
YIL027C	KRE27	0	YOL005C	RPB11	0	42506	3.25013	99
YHR089C	GAR1	0	YNL255C	GIS2	0	56017	3.25022	99
YGL203C	KEX1	0	YPL058C	PDR12	0	31350	3.25091	99
YHR068W	DYS1	0	YGR094W	VAS1	2	25978	3.25186	99
YAR042W	SWH1	0	YKR039W	GAP1	3	29225	3.25189	99
YGL006W	PMC1	0	YKR007W	MEH1	0	31182	3.25216	99
YMR038C	CCS1	0	YER070W	RNR1	2	23486	3.25241	99
YPL004C	LSP1	0	YGR054W	YGR054W	0	69512	3.25249	99
YGR065C	VHT1	0	YDL222C	FMP45	0	32854	3.25258	99
YOR016C	ERP4	0	YGL002W	ERP6	0	22371	3.253	99
YML031W	NDC1	0	YLR350W	ORM2	0	26935	3.25327	99
YER026C	CHO1	3	YML012W	ERV25	0	50962	3.25379	99
YJR108W	ABM1	0	YBR296C-A	YBR296C-A	0	48548	3.25392	99
